,callsign,icao24,last_position,filter,count
0,ACA033,c01732,2022-01-13 07:22:45.651000064+00:00,False,0
1,ACA033,c01732,2022-01-13 07:22:46.573999872+00:00,False,0
2,ACA033,c01732,2022-01-13 07:22:47.539000064+00:00,False,0
3,ACA033,c01732,2022-01-13 07:22:48.575000064+00:00,False,0
4,ACA033,c01732,2022-01-13 07:22:49.512999936+00:00,False,0
5,ACA033,c01732,2022-01-13 07:22:50.694000128+00:00,False,0
6,ACA033,c01732,2022-01-13 07:22:51.632000+00:00,False,0
7,ACA033,c01732,2022-01-13 07:22:52.747000064+00:00,False,0
8,ACA033,c01732,2022-01-13 07:22:53.670000128+00:00,False,0
9,ACA033,c01732,2022-01-13 07:22:54.595000064+00:00,False,0
10,ACA033,c01732,2022-01-13 07:22:55.520000+00:00,False,0
11,ACA033,c01732,2022-01-13 07:22:56.493999872+00:00,False,0
12,ACA033,c01732,2022-01-13 07:22:57.519000064+00:00,False,0
13,ACA033,c01732,2022-01-13 07:22:58.750000128+00:00,False,0
14,ACA033,c01732,2022-01-13 07:22:59.828000+00:00,False,0
15,ACA033,c01732,2022-01-13 07:23:00.755000064+00:00,False,0
16,ACA033,c01732,2022-01-13 07:23:01.687000064+00:00,False,0
17,ACA033,c01732,2022-01-13 07:23:02.767000064+00:00,False,0
18,ACA033,c01732,2022-01-13 07:23:03.674000128+00:00,False,0
19,ACA033,c01732,2022-01-13 07:23:04.615000064+00:00,False,0
20,ACA033,c01732,2022-01-13 07:23:05.999000064+00:00,False,0
21,ACA033,c01732,2022-01-13 07:23:06.976999936+00:00,False,0
22,ACA033,c01732,2022-01-13 07:23:07.808000+00:00,False,0
23,ACA033,c01732,2022-01-13 07:23:08.972999936+00:00,False,0
24,ACA033,c01732,2022-01-13 07:23:09.941999872+00:00,False,0
25,ACA033,c01732,2022-01-13 07:23:10.584999936+00:00,False,0
26,ACA033,c01732,2022-01-13 07:23:11.507000064+00:00,False,0
27,ACA033,c01732,2022-01-13 07:23:12.644000+00:00,False,0
28,ACA033,c01732,2022-01-13 07:23:13.635000064+00:00,False,0
29,ACA033,c01732,2022-01-13 07:23:14.653000192+00:00,False,0
30,ACA033,c01732,2022-01-13 07:23:15.635000064+00:00,False,0
31,ACA033,c01732,2022-01-13 07:23:16.756999936+00:00,False,0
32,ACA033,c01732,2022-01-13 07:23:17.997999872+00:00,False,0
33,ACA033,c01732,2022-01-13 07:23:18.868000+00:00,False,0
